Model,Variable,Coefficient,SE,Effect_Ratio,Effect_Lower,Effect_Upper,p_value,Interpretation,Capacity_Set,N,Events
Cox_PH,Ratio_disbursed_to_obligated,1.4740982682068398,0.5358879743150226,4.367096047559034,1.527721086089919,12.4836451249212,0.005945750391258549,Hazard Ratio (>1 = faster completion),ratios,152,41
Cox_PH,Ratio_expended_to_disbursed,-0.04309237714093915,0.08842893532663926,0.9578229050386031,0.8054050941649968,1.1390848208723194,0.6260380798912495,Hazard Ratio (>1 = faster completion),ratios,152,41
AFT_lognormal,Ratio_disbursed_to_obligated,-1.8536984587942549,0.4884146597745218,0.1566567052005032,0.0601464052479491,0.40802643454928983,0.00014744276135825903,Time Ratio (<1 = faster completion),ratios,152,41
AFT_lognormal,Ratio_expended_to_disbursed,0.00768891823463355,0.13390837604692918,1.0077185538730837,0.7750973256376138,1.3101537706696216,0.9542112307217355,Time Ratio (<1 = faster completion),ratios,152,41
Cox_PH,Disbursed_log,-0.04935892125424163,0.05359140036268171,0.9518394329779443,0.8569324920882495,1.0572575022379616,0.35703833216078795,Hazard Ratio (>1 = faster completion),absolute_log,156,41
Cox_PH,Expended_log,-0.016806854184062543,0.042045791138276535,0.983333593063481,0.9055479123066997,1.0678009877843342,0.6893573189160138,Hazard Ratio (>1 = faster completion),absolute_log,156,41
AFT_lognormal,Disbursed_log,0.6684746445100485,0.18067110299382785,1.9512586863258727,1.3693905537610118,2.7803685738193322,0.00021563914122258018,Time Ratio (<1 = faster completion),absolute_log,156,41
AFT_lognormal,Expended_log,-0.580431837346436,0.19244172582582994,0.5596566337388984,0.38380882992747295,0.8160717609001927,0.002560121702324644,Time Ratio (<1 = faster completion),absolute_log,156,41
Cox_PH,Disbursement_Velocity,9.057172613946616,6.759784013383449,8579.857757345426,0.015119641851905705,4868763417.633603,0.1802904602647038,Hazard Ratio (>1 = faster completion),velocity,151,40
Cox_PH,Expenditure_Velocity,41.46738059365961,12.525016004271576,1.0210677768260389e+18,22271097.49856609,4.6813113046610825e+28,0.0009304141546620162,Hazard Ratio (>1 = faster completion),velocity,151,40
AFT_lognormal,Disbursement_Velocity,16.664575786131984,13.758259817778521,17271629.259725265,3.359551618891107e-05,8.879434255689758e+18,0.22580284720849086,Time Ratio (<1 = faster completion),velocity,151,40
AFT_lognormal,Expenditure_Velocity,-41.07070174762878,14.773059786110608,1.456199451428546e-18,3.8758733302205685e-31,5.471068483603214e-06,0.005434082205256975,Time Ratio (<1 = faster completion),velocity,151,40
