Scheme,Stratum,Ratio_Low,Ratio_High,Velocity_Var,HR,HR_Lower,HR_Upper,p_value,N,Events,Penalizer,Penalty_Reason,Status
median,low,,0.4436244255286588,Expenditure_Velocity_pp,,,,,74,0,,insufficient_events,skipped
median,low,,0.4436244255286588,Capacity_Velocity_Index_pp,,,,,74,0,,insufficient_events,skipped
median,high,0.4436244255286588,,Expenditure_Velocity_pp,2.263840733897568,1.6342901552507105,3.1359026743128577,8.896421350445861e-07,77,40,0.1,base,ok
median,high,0.4436244255286588,,Capacity_Velocity_Index_pp,1.6098372654976723,1.2536278664355212,2.0672610196148007,0.00019032910250053815,77,40,0.1,base,ok
tercile,low,,0.21055085961364714,Expenditure_Velocity_pp,,,,,48,0,,insufficient_events,skipped
tercile,low,,0.21055085961364714,Capacity_Velocity_Index_pp,,,,,48,0,,insufficient_events,skipped
tercile,mid,0.21055085961364714,0.6183878982789811,Expenditure_Velocity_pp,1.0692115625240357,0.9105356679621747,1.255539355194794,0.41421217434740387,52,7,1.0,low_events,ok
tercile,mid,0.21055085961364714,0.6183878982789811,Capacity_Velocity_Index_pp,1.0857881156145506,0.9053697550815626,1.3021595048794061,0.3746757080526312,52,7,1.0,low_events,ok
tercile,high,0.6183878982789811,,Expenditure_Velocity_pp,2.4787837313876913,1.6181668070429156,3.7971170587911645,3.020142635030226e-05,51,33,0.1,base,ok
tercile,high,0.6183878982789811,,Capacity_Velocity_Index_pp,1.4738865116687445,1.1149798246470997,1.9483235492324935,0.006441791393051696,51,33,0.1,base,ok
quartile,q1,,0.11496528907958992,Expenditure_Velocity_pp,,,,,35,0,,insufficient_events,skipped
quartile,q1,,0.11496528907958992,Capacity_Velocity_Index_pp,,,,,35,0,,insufficient_events,skipped
quartile,q2,0.11496528907958992,0.4436244255286588,Expenditure_Velocity_pp,,,,,39,0,,insufficient_events,skipped
quartile,q2,0.11496528907958992,0.4436244255286588,Capacity_Velocity_Index_pp,,,,,39,0,,insufficient_events,skipped
quartile,q3,0.4436244255286588,0.6856255807474508,Expenditure_Velocity_pp,2.412892078322698,1.4938903696313188,3.897239248599794,0.0003171300181174358,39,13,0.1,base,ok
quartile,q3,0.4436244255286588,0.6856255807474508,Capacity_Velocity_Index_pp,2.4341114148516043,1.5227096519451064,3.891023066900787,0.00020165105055444852,39,13,0.1,base,ok
quartile,q4,0.6856255807474508,,Expenditure_Velocity_pp,2.2717281334864423,1.384718703488833,3.7269293030210116,0.0011592446900251937,38,27,0.1,base,ok
quartile,q4,0.6856255807474508,,Capacity_Velocity_Index_pp,1.3532538286343392,0.9997070767154822,1.8318325111093379,0.05021784755739707,38,27,0.1,base,ok
