LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,-0.7530302088140557,2.729666505007838,-0.2758689412909133,0.7826487298180136
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-0.041287191748924125,0.2426746746216378,-0.1701339120496452,0.8649048243205453
Time_to_50pct,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,-0.8948337692854368,0.42691546241386263,-2.0960444117525694,0.03607825142730814
gov_cap,~~,gov_cap,0.062023672372344026,0.22505362773555088,0.2755950792535071,0.7828590895427512
recovery_outcome,~~,recovery_outcome,0.002132533506394193,0.1281111237002469,0.01664596675747866,0.9867190534596848
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,1.0442550746096398e-17,0.22472466772147215,4.6468199739392285e-17,1.0
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.11776352229549149,0.0230985035725434,5.098318249082406,3.4268433934947495e-07
Spending_CV,~~,Spending_CV,0.31697155273870664,0.06305210984602257,5.027136340207251,4.978584000614461e-07
Time_to_50pct,~~,Time_to_50pct,0.020424675097630608,0.013770850756542786,1.4831817915420573,0.13802611760727101
