LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,0.6721481428028679,89.36404508981336,0.007521460584369618,0.9939987993087878
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-2.6913991961576684,124.79672010367464,-0.021566265474940144,0.9827939435207678
Timeliness,~,gov_cap,-0.006804287134354244,12.702955138524494,-0.0005356460020643713,0.9995726163453342
Duration_of_completion,~,recovery_outcome,1.0,-,-,-
Ratio_obligated_funds_fully_expended,~,recovery_outcome,-5.088569839839229e-05,0.6291044038334518,-8.088593576557257e-05,0.9999354623607368
Quarter_by_quarter_variance_expended,~,recovery_outcome,-0.01348609317999728,1.8147827310729843,-0.007431243944015403,0.9940707797614974
gov_cap,~~,gov_cap,0.007047543202061249,0.32685339760849297,0.021561786579563962,0.98279751633145
recovery_outcome,~~,recovery_outcome,0.5281476747720566,74.46587958105594,0.007092478833841773,0.9943410680844798
Duration_of_completion,~~,Duration_of_completion,481.0113744269846,160.4248029524804,2.9983603880097176,0.0027143648817711252
Quarter_by_quarter_variance_expended,~~,Quarter_by_quarter_variance_expended,0.004489883205749195,0.01369480733328716,0.32785296617558446,0.7430228373877139
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.025485650328791257,0.32688540454981757,0.07796509105021623,0.9378558217427853
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.15020467983994357,2.367625283418793,0.06344106936676577,0.9494152844733756
Ratio_obligated_funds_fully_expended,~~,Ratio_obligated_funds_fully_expended,0.11758659462214158,0.034674411339180755,3.391163399099499,0.0006959659433320997
Timeliness,~~,Timeliness,9.974516300008677,2.941324546007593,3.3911648116302553,0.0006959623562112771
