,count,mean,std,min,25%,50%,75%,max
state_level,573.0,0.05235602094240838,0.22293857291467267,0.0,0.0,0.0,0.0,1.0
z_avg_employment,573.0,-6.200198392321991e-17,1.000873744159703,-0.3298102988639643,-0.3298102988639643,-0.3298102988639643,-0.3298102988639643,7.938617284159417
z_avg_payroll,573.0,-1.2400396784643983e-17,1.0008737441596982,-0.346386498165212,-0.346386498165212,-0.346386498165212,-0.346386498165212,7.639736521550005
z_rev_programs_per_staff,573.0,-9.300297588482987e-17,1.0008737441596973,-12.627778042355276,0.06314184586594142,0.28578956320315574,0.3971134218717629,0.4342213747054403
z_rev_disasters_per_staff,573.0,-8.680277749250787e-17,1.0008737441596975,-5.983301761768883,-0.63195119242742,0.2599405691294903,0.2599405691294903,1.151832330417889
z_Ratio_disbursed_to_obligated,573.0,1.5500495980804978e-16,1.0008737441596978,-1.9844419263048212,-0.6893615166997564,0.06604899063775506,0.6937620911310415,2.8377601694344414
z_Ratio_expended_to_disbursed,573.0,-1.1160357106179584e-16,1.0008737441596969,-0.9126488014827909,-0.03517931403359311,0.03485075382232039,0.039085565434827,18.801331526181887
z_Ratio_obligated_funds_fully_expended,573.0,2.6350843167368463e-17,1.0008737441596953,-2.443550131724587,-0.6509625444742276,0.6706575083262385,0.6706575083262392,3.787392762292536
z_Ratio_Program_Completed,573.0,9.90481693173438e-16,1.0008737441596978,-5.537542685126898,0.10814367758149841,0.44024287538787477,0.44024287538787477,0.44024287538787477
z_rev_Duration_of_completion,573.0,4.185133914817344e-17,1.000873744159697,-3.9303186715337626,-0.7240055855215687,0.19165404773746558,0.8315125866413691,1.5646420410908257
z_rev_Average_Duration_Program_Completion,573.0,-2.945094236352946e-16,1.0008737441596973,-3.1122632446410696,-0.6734613902214321,0.19258453756890775,0.8088853334761337,1.5880859586941727
z_E_TOTPOP,573.0,1.8600595176965975e-17,1.0008737441596995,-0.21188266228681427,-0.21188266228681427,-0.21188266228681427,-0.18539414094578124,14.158654829790107
z_SPL_THEME1,573.0,-7.44023807078639e-17,1.000873744159698,-2.591381318882512,-0.7637350251463977,0.06639943006308661,0.7728184351020633,2.0686934563857435
z_SPL_THEME2,573.0,3.0070962202761656e-16,1.0008737441596978,-3.543643890933831,-0.6610390814801642,0.058600579191544704,0.7296862386613082,2.382795839901235
z_SPL_THEME3,573.0,3.720119035393195e-17,1.0008737441596975,-2.1866747522061005,-0.6552403201633102,0.19705677076563144,0.7772344367180462,1.677161283790717
z_SPL_THEME4,573.0,-4.557145818356663e-16,1.0008737441596978,-3.089750254662852,-0.6215624978018902,0.05040650112368146,0.7366562392403487,2.4385303547285435
