lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
RecoveryPerformance,~,GovCapacity,-0.11238834240794071,-0.13847767624658713,0.03356854406608191,-3.3480255260206926,0.0008138951452940635
RecoveryPerformance,~,state_level,-0.08617162838277015,-0.024656871356932463,0.19818348114548953,-0.4348073203895103,0.663702290918808
RecoveryPerformance,~,z_E_TOTPOP,-0.0158172621065676,-0.020318847022254848,0.04451238826012622,-0.3553451684905708,0.7223310209516454
RecoveryPerformance,~,z_SPL_THEME1,0.00899080477124011,0.011549583330096895,0.05243885005046138,0.1714531261157881,0.8638674845546195
RecoveryPerformance,~,z_SPL_THEME2,0.03971919130062081,0.05102325335747506,0.044063418980313046,0.9014096549672055,0.36737054982280837
RecoveryPerformance,~,z_SPL_THEME3,-0.18314115656182875,-0.23526303848208358,0.04110510924764043,-4.455435343913755,8.372312592541675e-06
RecoveryPerformance,~,z_SPL_THEME4,-0.02291193183721962,-0.029432656223828596,0.04808336794745873,-0.476504305226274,0.6337151409255561
RecoveryTimeliness,~,GovCapacity,0.10466680049003661,0.18347574081738338,0.026088279756785255,4.0120238460261834,6.020041732113235e-05
RecoveryTimeliness,~,state_level,-0.14390589511468554,-0.05858190021265735,0.13471625571426674,-1.0682147774270228,0.28542364040619894
RecoveryTimeliness,~,z_E_TOTPOP,0.009614595083514383,0.017571544960324596,0.029992048750964933,0.3205714675588636,0.7485351628857178
RecoveryTimeliness,~,z_SPL_THEME1,-0.105467883832095,-0.19275212804370548,0.03788675769201921,-2.7837664200947945,0.005373171387688558
RecoveryTimeliness,~,z_SPL_THEME2,-0.09364615136002251,-0.17114683922627758,0.03204657312790714,-2.9221892457371794,0.003475802768900804
RecoveryTimeliness,~,z_SPL_THEME3,-0.03558277029368323,-0.06503074155462127,0.02724050165881365,-1.3062450441643831,0.19146923919909065
RecoveryTimeliness,~,z_SPL_THEME4,0.003966697694311718,0.0072494999814528465,0.03236911797015594,0.12254574554198343,0.9024668192692937
z_avg_employment,~,GovCapacity,1.0,0.9591798693334007,-,-,-
z_avg_payroll,~,GovCapacity,1.0269600744107361,0.9850524270025376,0.03192156500434166,32.171357332852814,0.0
z_rev_programs_per_staff,~,GovCapacity,0.16498585185487447,0.1582524700125836,0.0435506384594693,3.7883681545709442,0.00015164003016199246
z_rev_disasters_per_staff,~,GovCapacity,0.42261924768443104,0.4053431372407391,0.04072370467384633,10.377721060959093,0.0
z_Ratio_disbursed_to_obligated,~,RecoveryPerformance,1.0,0.7813516417824594,-,-,-
z_Ratio_expended_to_disbursed,~,RecoveryPerformance,-0.1670175700795372,-0.1300316038710638,0.05376087978050897,-3.106674793238462,0.0018920441588672343
z_Ratio_obligated_funds_fully_expended,~,RecoveryPerformance,1.2704371629637043,0.9949302790376788,0.07072583190150157,17.962845099016345,0.0
z_Ratio_Program_Completed,~,RecoveryPerformance,0.6070503650214036,0.47321378836706485,0.05163256753029652,11.757121407015964,0.0
z_rev_Duration_of_completion,~,RecoveryTimeliness,1.0,0.5464935831540452,-,-,-
z_rev_Average_Duration_Program_Completion,~,RecoveryTimeliness,1.835134399023037,1.0,0.23909195110241982,7.675433616873389,1.6431300764452317e-14
RecoveryPerformance,~~,RecoveryTimeliness,-0.12264417980007992,-0.2879344582683842,0.023982156210954248,-5.1139763545925945,3.1544686129869604e-07
RecoveryPerformance,~~,RecoveryPerformance,0.5540327895460166,0.9142626267361105,0.0542784476056411,10.207233514877265,0.0
GovCapacity,~~,GovCapacity,0.9199866046941261,1.0,0.06415545687664688,14.33995874191442,0.0
RecoveryTimeliness,~~,RecoveryTimeliness,0.2538323029734169,0.8478222086990982,0.04289601805110954,5.917386146776249,3.270981263625572e-09
z_Ratio_Program_Completed,~~,z_Ratio_Program_Completed,0.7739258335893799,0.7760687104992907,0.04684394120548617,16.521364634498763,0.0
z_Ratio_disbursed_to_obligated,~~,z_Ratio_disbursed_to_obligated,0.3866048717912746,0.38948961188385534,0.03534424249797232,10.93827012426467,0.0
z_Ratio_expended_to_disbursed,~~,z_Ratio_expended_to_disbursed,0.9828450398155597,0.9830917819947188,0.058080572389751894,16.92209631136585,0.0
z_Ratio_obligated_funds_fully_expended,~~,z_Ratio_obligated_funds_fully_expended,0.009993033939218863,0.010113739854006494,0.04349831994037634,0.2297337909300106,0.8182986357132074
z_avg_employment,~~,z_avg_employment,0.07997055190864126,0.07997397826556037,0.025893330768839137,3.0884613732966297,0.0020119584668243373
z_avg_payroll,~~,z_avg_payroll,0.029669661866488502,0.029671716056410273,0.0269059963263481,1.1027155993599587,0.2701506903215478
z_rev_Average_Duration_Program_Completion,~~,z_rev_Average_Duration_Program_Completion,0.0,0.0,0.11441141532454942,0.0,1.0
z_rev_Duration_of_completion,~~,z_rev_Duration_of_completion,0.7030780286207097,0.7013447635714527,0.05366128867207542,13.102145811371084,0.0
z_rev_disasters_per_staff,~~,z_rev_disasters_per_staff,0.8357631385948373,0.8356969410918352,0.04964388371599587,16.83516832323715,0.0
z_rev_programs_per_staff,~~,z_rev_programs_per_staff,0.9748976018472184,0.9749561557349163,0.05763081042417801,16.91625702735738,0.0
