lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
RecoveryPerformance,~,AdminResources,-0.13910995910066323,-0.1696124817885615,0.0373779231089561,-3.7217145182582247,0.00019787466167131562
RecoveryPerformance,~,AdminBurdenCapacity,0.10386310713249604,0.07675021909638102,0.060436494989931734,1.7185494815356235,0.08569643715586373
RecoveryPerformance,~,state_level,-0.1334514908727909,-0.038053876362709176,0.20010753120682928,-0.6668988921470915,0.5048367186464184
RecoveryPerformance,~,z_E_TOTPOP,-0.015454798449448187,-0.019784856213309346,0.04492882804443642,-0.3439840103066741,0.7308583110908948
RecoveryPerformance,~,z_SPL_THEME1,0.008069548960375466,0.0103304398572075,0.05293028346323686,0.15245618259021373,0.8788271476082035
RecoveryPerformance,~,z_SPL_THEME2,0.041292338033855486,0.052861444514041116,0.04447490752417321,0.9284412342056841,0.3531787377123756
RecoveryPerformance,~,z_SPL_THEME3,-0.17669125781912653,-0.2261958408279986,0.04128001411938035,-4.280310014038787,1.8663315173750306e-05
RecoveryPerformance,~,z_SPL_THEME4,-0.02150308071881287,-0.027527719727725507,0.04853103810130258,-0.4430789358654301,0.657708640516357
RecoveryTimeliness,~,AdminResources,0.045560069129502556,0.07959507607379514,0.02536471295608471,1.7961988849070343,0.07246289201761469
RecoveryTimeliness,~,AdminBurdenCapacity,0.25147337987136437,0.26626407480508585,0.05111383522045694,4.919869127053864,8.660209880329006e-07
RecoveryTimeliness,~,state_level,-0.25967972306102804,-0.10610009043602392,0.13273884790419488,-1.9563204529731735,0.05042741628372194
RecoveryTimeliness,~,z_E_TOTPOP,0.008862326117186169,0.016256218267607647,0.029036152368383,0.3052169586536196,0.7602009171297297
RecoveryTimeliness,~,z_SPL_THEME1,-0.10580595432733908,-0.19408050040296382,0.03638064619022806,-2.9083033262023408,0.003633956740102251
RecoveryTimeliness,~,z_SPL_THEME2,-0.08677130634267734,-0.15916513075913213,0.030453405570803928,-2.8493137208607235,0.004381365413168359
