,OneFactor,TwoFactor
DoF,101.0,98.0
DoF Baseline,126.0,126.0
chi2,741.720473303338,469.8199422978275
chi2 p-value,0.0,0.0
chi2 Baseline,4506.238794290796,4506.238794290796
CFI,0.8537247617325217,0.9151142301231482
GFI,0.8354014274070285,0.8957401141517248
AGFI,0.7946592064681741,0.8659515753379319
NFI,0.8354014274070285,0.8957401141517248
TLI,0.8175180195871062,0.8908611530154762
RMSEA,0.1053114516914418,0.0814432858984028
AIC,67.41109782442116,74.36013981745958
BIC,219.69209790943705,239.6937970526197
LogLik,1.2944510877894206,0.819930091270205
