,count,mean,std,min,25%,50%,75%,max
state_level,169.0,0.16568047337278108,0.37289845057048615,0.0,0.0,0.0,0.0,1.0
z_avg_employment,169.0,1.5766480823079147e-17,1.0029717747535962,-0.420421510606961,-0.420421510606961,-0.420421510606961,-0.30894438544131264,6.695952720301649
z_avg_payroll,169.0,1.0510987215386097e-17,1.002971774753598,-0.4385213263220568,-0.4385213263220568,-0.4385213263220568,-0.2668993756028885,4.997202780063871
z_rev_programs_per_staff,169.0,8.408789772308878e-17,1.0029717747535976,-8.30888519280444,-0.41060378960045757,0.1535591677712554,0.7177219119669427,0.717722124973393
z_rev_disasters_per_staff,169.0,3.153296164615829e-17,1.0029717747535971,-5.503778244398004,-0.1427492499119432,-0.1427492499119432,1.1975075798793127,1.1975079983067192
z_Ratio_disbursed_to_obligated,169.0,1.458399476134821e-16,1.0029717747535976,-2.2353610169614244,-0.7885252994810927,-0.048674468333799945,0.8850311384287258,1.6705371234693596
z_Ratio_expended_to_disbursed,169.0,4.9927189273083965e-17,1.0029717747535976,-1.7679232601887789,-0.2076445724470195,-0.07449838806624594,-0.05583052934759047,8.163321894055176
z_Ratio_obligated_funds_fully_expended,169.0,-5.386880947885375e-16,1.0029717747535982,-3.161784868768152,-0.43707367449325757,0.5686675225880058,0.5686675225880058,0.6355176486173054
z_Ratio_Program_Completed,169.0,2.5751918677695937e-16,1.0029717747535976,-3.3042974668121206,0.4187938990314442,0.4187938990314442,0.4187938990314442,0.4187938990314442
z_rev_Duration_of_completion,169.0,1.3138734019232621e-17,1.0029717747535976,-3.3111150006304264,-0.7551097346795345,0.16939254736345816,0.8286489999209807,1.533720641207812
z_rev_Average_Duration_Program_Completion,169.0,3.153296164615829e-17,1.0029717747535973,-4.689713911656232,-0.46953441616782826,0.14574408971646285,0.7243988750124029,1.2796144791317985
z_E_TOTPOP,169.0,-4.0730075459621126e-17,1.0029717747535967,-0.35745368891316404,-0.35745368891316404,-0.35267408445738846,-0.24713219972076156,7.789346570846097
z_SPL_THEME1,169.0,-3.100741228538899e-16,1.0029717747535976,-2.279789640827776,-0.7700525352192927,-0.0812363037133459,0.585495234103117,2.761894555146626
z_SPL_THEME2,169.0,-8.829229260924322e-16,1.0029717747535976,-3.3770589539983913,-0.6736284943170803,-0.02490670256374448,0.6669604815152301,2.8452589444768326
z_SPL_THEME3,169.0,1.734312890538706e-16,1.0029717747535976,-1.7438896468852176,-1.0074173522954954,0.11515938807349071,0.833301579247802,1.7135017777498351
z_SPL_THEME4,169.0,2.4700819956157327e-16,1.0029717747535976,-2.5854139161832177,-0.568417104481807,0.14874604268135083,0.7494475728530942,2.178639407924083
