lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
RecoveryPerformance,~,AdminResources,-0.21011361519260804,-0.30667950000672617,0.065389336488841,-3.213270335374203,0.001312327052893858
RecoveryPerformance,~,AdminBurdenCapacity,0.0910916089080936,0.07008446178838945,0.11676487489544636,0.7801285188621899,0.4353152314680482
RecoveryPerformance,~,state_level,-0.4870179393377046,-0.27834256627057957,0.1843569494961157,-2.6417118566247706,0.008248819989169265
RecoveryPerformance,~,z_E_TOTPOP,0.001750271377671459,0.002690532185575008,0.06697290021836189,0.026134023940110853,0.9791504391441013
RecoveryPerformance,~,z_SPL_THEME1,-0.07663101246308315,-0.1177978501364867,0.08065293971505802,-0.9501329118673885,0.3420447219534304
RecoveryPerformance,~,z_SPL_THEME2,0.028719501662780714,0.044147864475842895,0.06747554435704468,0.42562830631475546,0.6703787108315016
RecoveryPerformance,~,z_SPL_THEME3,-0.27681772173330127,-0.4255265779709253,0.069042140821168,-4.009402351040958,6.087261906251307e-05
RecoveryPerformance,~,z_SPL_THEME4,0.14129973592376296,0.2172071669376831,0.07288973427134084,1.938540966493568,0.0525572578397262
RecoveryTimeliness,~,AdminResources,0.02232673959810066,0.0711924237400425,0.03134771512763776,0.7122286108088315,0.47632322272642424
RecoveryTimeliness,~,AdminBurdenCapacity,0.07146160023123756,0.12011410981976867,0.06806010364915877,1.049977834276643,0.293728303878255
RecoveryTimeliness,~,state_level,0.02042295058759277,0.025499465380418036,0.08191331099846759,0.24932395404851246,0.8031102036071984
RecoveryTimeliness,~,z_E_TOTPOP,0.008651945567575418,0.02905524217637666,0.030964559913442193,0.27941445289329175,0.7799267808008072
RecoveryTimeliness,~,z_SPL_THEME1,-0.06361929818232516,-0.21364837554064547,0.052092164543044446,-1.2212834452009458,0.22197871922730483
RecoveryTimeliness,~,z_SPL_THEME2,0.039038988017928856,0.13110198652110294,0.038242709056610376,1.0208217194843319,0.3073389121722814
RecoveryTimeliness,~,z_SPL_THEME3,-0.0436735491228629,-0.14666591884514904,0.03841513734888526,-1.1368838467264608,0.25558684569552415
RecoveryTimeliness,~,z_SPL_THEME4,-0.019142185143117253,-0.06428390247884701,0.03445887302506244,-0.5555081597891885,0.5785471304292034
z_avg_employment,~,AdminResources,1.0,0.9495795892276195,-,-,-
z_avg_payroll,~,AdminResources,1.0239476067240447,0.9723041661769253,0.05530244361913151,18.515413419296024,0.0
z_rev_programs_per_staff,~,AdminBurdenCapacity,1.0,0.5004751126876418,-,-,-
z_rev_disasters_per_staff,~,AdminBurdenCapacity,1.9724876204318957,0.9872454080103067,0.481771937930076,4.094235187094037,4.235642031935605e-05
z_Ratio_disbursed_to_obligated,~,RecoveryPerformance,1.0,0.6651278163167424,-,-,-
z_Ratio_expended_to_disbursed,~,RecoveryPerformance,0.15376818187410024,0.10008389778188286,0.1289320425888224,1.1926296891401171,0.23301443310540448
z_Ratio_obligated_funds_fully_expended,~,RecoveryPerformance,1.301975454245925,0.8799194911281295,0.16536620321660123,7.87328625143971,3.552713678800501e-15
z_Ratio_Program_Completed,~,RecoveryPerformance,0.8947854305793872,0.5924612061757588,0.13540262611661436,6.608331435183189,3.886757582449718e-11
z_rev_Duration_of_completion,~,RecoveryTimeliness,1.0,0.29768790708128356,-,-,-
z_rev_Average_Duration_Program_Completion,~,RecoveryTimeliness,3.369373218849578,1.0000000000000002,1.9619959529013582,1.7173191483220456,0.08592087525292702
AdminResources,~~,AdminBurdenCapacity,0.2586929316969135,0.5443475134288526,0.07632683853203534,3.3892787474087176,0.0007007673505290413
AdminResources,~~,AdminResources,0.9015617975841114,1.0000000000000002,0.11539230689165192,7.813014765558188,5.551115123125783e-15
RecoveryPerformance,~~,RecoveryTimeliness,-0.04612322530594954,-0.2381020809773877,0.030508889994224353,-1.511796244083916,0.13058570520652024
RecoveryPerformance,~~,RecoveryPerformance,0.28676771771359194,0.6776350505409513,0.06596055372747306,4.347563831772435,1.3765801457843452e-05
AdminBurdenCapacity,~~,AdminBurdenCapacity,0.25050773344470156,1.0000000000000002,0.08853832090106076,2.8293707277531044,0.004663963775277891
RecoveryTimeliness,~~,RecoveryTimeliness,0.07838063778104626,0.8839551600667,0.05346256444820861,1.466084513314185,0.14262526422572863
z_Ratio_Program_Completed,~~,z_Ratio_Program_Completed,0.6264554424412161,0.6489897191767652,0.07732451138856113,8.101641137893928,4.440892098500626e-16
z_Ratio_disbursed_to_obligated,~~,z_Ratio_disbursed_to_obligated,0.533397316642957,0.5576049879617216,0.07148623785621587,7.461538509109211,8.548717289613705e-14
z_Ratio_expended_to_disbursed,~~,z_Ratio_expended_to_disbursed,0.9889327654083603,0.9899832134047855,0.10778445178959835,9.175096676556286,0.0
z_Ratio_obligated_funds_fully_expended,~~,z_Ratio_obligated_funds_fully_expended,0.2091538610533021,0.22574168913281337,0.06869034907075684,3.044879868565104,0.002327732667893434
z_avg_employment,~~,z_avg_employment,0.09828338542862468,0.09829860372230521,0.04139274256701502,2.374411052061338,0.01757697060606911
z_avg_payroll,~~,z_avg_payroll,0.054617902127952214,0.05462460843499373,0.0423451399487998,1.2898269362836394,0.1971107533072134
