,OneFactor,TwoFactor
DoF,101.0,98.0
DoF Baseline,126.0,126.0
chi2,285.9316135646675,254.57848663524933
chi2 p-value,0.0,6.661338147750939e-16
chi2 Baseline,1338.4652833384407,1338.4652833384407
CFI,0.8474747144466925,0.8708594062139898
GFI,0.7863735300989741,0.8097982145638682
AGFI,0.7334956910145618,0.755454847296402
NFI,0.7863735300989741,0.8097982145638682
TLI,0.8097209308938937,0.8339620937037011
RMSEA,0.1043975367712996,0.0975210496063774
AIC,66.61619392231162,72.98723684455327
BIC,176.1626489446192,191.92338801163004
LogLik,1.6919030388441865,1.506381577723369
