Analysis,Context,Phase,Week,HR,p,N,Events,CI_lower,CI_upper
Phase-Specific,Overall_Velocity (Overall),2,5,0.723447171163834,0.6870209025775041,143,71,0.1497824492365095,3.4942398934773244
Phase-Specific,Early_Velocity_Only (Early),2,5,0.991012677287563,0.9840294112122951,138,71,0.40942819284203774,2.398726183772039
Phase-Specific,Three_Phase (Early),2,5,1.107891055218047,0.8553141236618714,138,71,0.36829642059004003,3.332703012062212
Phase-Specific,Three_Phase (Mid),2,5,0.4815627794755202,0.3589015910108817,138,71,0.10108668568852039,2.294097476800783
Phase-Specific,Three_Phase (Late),2,5,1.2595767424822772,0.8274404025028198,138,71,0.15814757010099006,10.03198195956558
Phase-Specific,Acceleration (Acceleration),2,5,1.0153937904515222,0.9769144943565168,138,71,0.36079791716738974,2.8576233415703807
Experience,Novice,2,6,1.3308484961488225,0.7911812761748693,74,35,0.1604311957859285,11.039983283955124
Experience,Experienced,2,6,0.3161705670883446,0.3326054982688145,69,36,0.0307824388100461,3.2474303972413403
Experience,Interaction,2,6,0.7082086013543719,0.762213102405821,143,71,0.07577889620080916,6.618721678172982
Program Type,Housing,3,8,0.0214918381464457,0.0552618214112301,50,30,0.0004236455355773,1.09029617480463
Program Type,Infrastructure,3,8,0.0130861669194941,0.1636809565761152,56,28,2.929309643029144e-05,5.846011023531786
Program Type,Administration,3,8,9.883778905409226,0.0255663066754688,34,11,1.322968359660717,73.84083280424431
Disaster Context,Hurricane,3,9,1.839704184600764,0.4401619965731909,77,40,0.391320220644784,8.648956297890392
Disaster Context,Fire,3,9,12.06416308782538,0.0269495067267145,27,6,1.3284149245816197,109.5621769346554
Disaster Context,Other,3,9,0.0563508559044197,0.1343886388943027,65,31,0.0013047354085571,2.4337646854178714
Disaster Context,2010-2020,3,9,0.5201446314610052,0.502700581850557,126,64,0.076913412740547,3.517597620461284
