Feature,Coefficient,Abs_Coefficient,Selected
Housing_Pct,0.017445994111155192,0.017445994111155192,True
Government_Type_State,0.0,0.0,False
Stage1_Efficiency,0.0,0.0,False
Ratio_disbursed_to_obligated,0.0,0.0,False
Velocity_Late,0.0,0.0,False
Velocity_Early,0.0,0.0,False
Disbursement_Velocity_pp,0.0,0.0,False
Capacity_Velocity_Index_pp,0.0,0.0,False
Infrastructure_Pct,0.0,0.0,False
Program_Diversity_Index,0.0,0.0,False
Lag_Total_Pipeline,0.0,0.0,False
Stage2_Efficiency,0.0,0.0,False
N_Quarters,0.0,0.0,False
Population_log,0.0,0.0,False
Log_Obligated,0.0,0.0,False
Duration_Days,0.0,0.0,False
Total_Damage,0.0,0.0,False
Counties_Affected,0.0,0.0,False
Severity_Index,0.0,0.0,False
Experience_Index,0.0,0.0,False
Years_Experience,0.0,0.0,False
Prior_Grant_Count,0.0,0.0,False
Employment_Log,0.0,0.0,False
Employment_Per_Capita,0.0,0.0,False
Ratio_expended_to_disbursed,0.0,0.0,False
