Feature,Completers_Mean,Completers_N,NonCompleters_Mean,NonCompleters_N,Difference,T_Statistic,P_Value
Disbursement_Velocity_pp,0.00991108660975959,71,0.024760920656312524,72,-0.014849834046552934,-4.47575781179049,2.013373983225735e-05
Stage1_Efficiency,0.672001872218348,71,0.4528582134127245,85,0.21914365880562348,3.846376069939801,0.00017512062607641732
N_Quarters,27.901408450704224,71,19.31764705882353,85,8.583761391880696,3.1573546138291544,0.0019270703793257623
Housing_Pct,0.2604981470781466,71,0.176997420111607,85,0.08350072696653962,3.1457202942802387,0.0019940060503561958
Log_Obligated,18.33333893121813,71,17.21712883456743,85,1.1162100966507005,3.082975392410522,0.002430854483309494
Ratio_disbursed_to_obligated,0.5121493121275598,71,0.36680771518635386,85,0.1453415969412059,2.869261807880183,0.004697086116042138
Capacity_Velocity_Index_pp,0.08429738496013217,71,0.13906156348929177,72,-0.0547641785291596,-2.4671508872231063,0.014893371598178143
Infrastructure_Pct,0.31791184552617197,71,0.2606018625741809,85,0.05730998295199108,1.8075777238243562,0.07265244654238771
Total_Damage,1166157131.5272727,55,754695973.7755102,49,411461157.7517625,1.7667837190229954,0.08028448880599985
Program_Diversity_Index,0.6405085897299327,71,0.5816236848904389,85,0.058884904839493823,1.724567521485786,0.08710952608828035
Lag_Total_Pipeline,0.36619718309859156,71,0.7916666666666666,72,-0.42546948356807507,-1.6555668974485478,0.10119150386959316
Stage2_Efficiency,1.5279602284571512,71,0.8008384219060282,81,0.727121806551123,1.330979470651761,0.18743099927399468
Ratio_expended_to_disbursed,1.441444373559423,71,1.1326028671958195,81,0.3088415063636034,0.7724629468926681,0.4410578816923417
Years_Experience,1.2535211267605635,71,1.576470588235294,85,-0.3229494614747306,-0.660259533291729,0.5100751300312161
Velocity_Early,0.0021553609031089694,71,0.002503806561141943,67,-0.0003484456580329738,-0.6458446279327161,0.5195590618063055
Government_Type_State,0.6338028169014085,71,0.5882352941176471,85,0.045567522783761416,0.5787466244967764,0.5636276063684673
Employment_Log,14.50151204376866,47,14.644845607473425,51,-0.1433335637047648,-0.5241295170879766,0.6013967522760543
Velocity_Late,0.0010685033508358215,71,0.0011815731341674818,72,-0.00011306978333166032,-0.3828360519995403,0.7024732652569309
Severity_Index,5.656545454545455,55,5.722244897959183,49,-0.06569944341372835,-0.36733185036879556,0.7141462641139877
Population_log,14.605846880424945,70,14.49471169023497,85,0.11113519018997486,0.3468701188781642,0.7291825610066877
Experience_Index,0.19511830985915493,71,0.1831270588235294,85,0.011991251035625539,0.34180484730139843,0.7329716134995274
Employment_Per_Capita,382.48520539256555,47,374.1097603593903,51,8.375445033175254,0.31910612237492714,0.7504775263022031
Counties_Affected,66.7090909090909,55,63.3469387755102,49,3.3621521335807003,0.23836505301936092,0.8121063443938114
Prior_Grant_Count,0.971830985915493,71,0.9294117647058824,85,0.042419221209610614,0.1890079137350316,0.8503371282936796
Duration_Days,54.09090909090909,55,52.97959183673469,49,1.111317254174402,0.09136741339968026,0.9273826343418331
