Grantee,Ratio_disbursed_to_obligated,Ratio_expended_to_disbursed,Timeliness,Duration_of_completion,Ratio_obligated_funds_fully_expended,Quarter_by_quarter_variance_expended,Num_Disaster,Num_Program,Ratio_Program_Completed,Average_Duration_Program_Completion,E_TOTPOP,avg_employment,avg_payroll,SPL_THEME1,SPL_THEME2,SPL_THEME3,SPL_THEME4,SPL_THEMES
AK,0.13651602555819714,1.4364382254040355,0.05453854477043063,25.516447368421055,0.3255376556452588,0.38129137035423055,2.0,14.0,0.6428571428571429,16.331766917293233,72.77785,2.2488527301461456,55989.084508952255,1.4879794189454127,1.8150279882361648,1.1774932575000092,3.0227755218094,7.503287477667937
AL,0.6051918625750542,0.9853377135869609,0.02109048008317142,52.05701754385965,0.9037496571863878,0.25553889159771187,3.0,58.0,0.896551724137931,34.383592910848556,485.9575166666667,0.12890484100842192,2811.075977338309,2.520149562839533,2.153815370485133,1.0825712752066061,2.6116630616377248,8.368197947491515
AR,0.6878910593223434,0.30176499940511686,0.006794510750525233,147.17763157894737,0.7307264067711473,0.141398135208865,1.0,18.0,1.0,82.84907120743034,296.8234166666667,0.36116233703120637,5414.165301419562,2.4551200076495316,2.345903447889291,0.9899996274567674,2.7645102462740128,8.555536222160198
"Acadia Parish, LA",0.343404616150696,0.8800951823351538,0.026143550433647245,48.07675438596491,0.6760860811921757,0.3345649230159582,3.0,23.0,0.9565217391304348,56.25657894736841,6.135916666666666,0.0,0.0,3.37215,2.7386,0.9737666666666667,3.0593333333333335,10.143866666666666
"Adams County, CO",0.7085596055752897,1.1817436530444734,0.06663743971942131,15.006578947368421,1.0,0.36015515522393265,1.0,6.0,1.0,12.495614035087721,48.232883333333334,0.0,0.0,2.2455,2.1599,1.5120666666666667,2.6423166666666664,8.559783333333334
"Adams County, IL",0.568663357597004,0.9833253871742291,0.037018996590355575,27.013157894736842,1.0,0.3435380626566417,2.0,7.0,1.0,29.597744360902258,6.646200000000001,0.0,0.0,1.27915,2.1019,0.42111666666666664,2.418833333333333,6.221016666666666
"Adams County, IN",0.728936062911457,1.0319819328916275,0.01958510501224069,51.059210526315795,0.9999999999999998,0.33344623558358516,1.0,4.0,1.0,27.794407894736842,0.0,0.0,0.0,2.5884666666666667,1.8596333333333332,0.662,3.0568000000000004,8.1669
"Adams County, MS",0.6946143661782653,0.9612119908683462,0.03027285401314479,33.03289473684211,1.0,0.34446195232929133,1.0,3.0,1.0,40.03947368421053,0.0,0.0,0.0,3.8005333333333335,2.6107333333333336,1.4425833333333333,3.481116666666667,11.334966666666666
"Alachua County, FL",0.29031999864121866,1.0,0.03332602499451875,30.00657894736842,0.521471094600099,0.38602872395405774,1.0,3.0,1.0,12.002192982456142,0.0,0.0,0.0,2.2363833333333334,0.88865,1.2126833333333333,3.4568666666666665,7.7946
"Allegany County, MD",0.8009673785310735,1.0,0.06649168853893263,15.039473684210527,1.0,0.361422671511037,1.0,2.0,1.0,15.05592105263158,7.213566666666667,0.0,0.0,2.4743833333333334,1.8917333333333335,0.6265999999999999,2.92735,7.920083333333333
"Allen County, IN",0.812720782466878,0.9550833088026679,0.009508319779807331,105.17105263157895,1.0,0.388487603910161,1.0,3.0,1.0,21.015350877192983,0.0,0.0,0.0,1.8757333333333335,2.2702166666666668,1.1569333333333334,2.40845,7.711316666666666
"Allen Parish, LA",0.29336451894852944,0.9698615089362979,0.11194316604676183,39.80098684210527,0.5,0.24631621755658756,4.0,17.0,1.0,35.171052631578945,0.0,0.0,0.0,2.963316666666667,2.3217,1.1732166666666666,3.44185,9.9001
"Amite County, MS",0.40319305370566233,1.0014078792515317,0.037018996590355575,27.013157894736842,1.0,0.3729096494926615,1.0,1.0,1.0,33.03289473684211,0.0,0.0,0.0,3.594633333333333,2.5536833333333333,0.8827166666666667,2.1713999999999998,9.202416666666666
"Anchorage County, AK",0.011798581333333332,0.9756343621529102,0.04755944931163955,21.026315789473685,0.016643937777777777,0.40670334040051637,1.0,8.0,1.0,9.373355263157894,0.0,0.0,0.0,1.1663,1.8840333333333332,1.3449666666666669,3.1359166666666667,7.531233333333333
"Anderson County, TX",0.5180564821953265,0.9948708531256303,0.026437318165340666,40.549342105263165,0.6393442622950818,0.32951567306318374,2.0,9.0,0.8888888888888888,50.68503289473685,0.0,0.0,0.0,2.8145166666666666,1.6365666666666667,1.3438666666666668,3.7785833333333336,9.573533333333334
"Angelina County, TX",0.4073570449546446,0.9597809504563608,0.020040640462684722,54.069078947368425,0.9019650283783784,0.30534454409886447,2.0,20.0,1.0,77.52467105263159,8.694633333333332,0.0,0.0,3.23615,3.0004000000000004,1.3967333333333334,3.5343,11.167566666666666
"Aransas County, TX",0.2632894384858096,0.9929138678248541,0.12035771538375657,50.07236842105263,0.5961209958076438,0.2377448356634973,3.0,12.0,0.75,52.075292397660824,2.4149333333333334,0.0,0.0,2.58405,2.2268666666666665,1.2442666666666666,3.12645,9.181616666666667
"Ascension Parish, LA",0.2332969406825347,0.9996281951607212,0.050181737772530044,69.06359649122807,0.3620362469010036,0.2782767810730677,3.0,23.0,1.0,43.47768878718535,11.750466666666668,0.0,0.0,1.3452833333333334,2.2364833333333336,1.0874833333333334,2.1398166666666665,6.80905
"Ashley County, AR",0.5156128362373364,0.06220275830171498,0.011888002502737367,84.11842105263159,0.9999999999999998,0.22304930225873526,1.0,6.0,1.0,68.08771929824562,2.06845,0.0,0.0,3.0674166666666665,2.75995,1.11565,2.37935,9.322383333333333
