Threshold_pct,N_Intervals,N_Grantee_Disasters,N_Events,N_Censored,N_Predictors,EPV_Ratio,Disb_HR_Unadjusted,Disb_CI_Lower_Unadjusted,Disb_CI_Upper_Unadjusted,Disb_p_Unadjusted,Concordance_Unadjusted,Disb_HR_Adjusted,Disb_CI_Lower_Adjusted,Disb_CI_Upper_Adjusted,Disb_p_Adjusted,Concordance_Adjusted
20,3618,151,101,50,7,14.428571428571429,1.0875495481367223,0.8750382299051215,1.351671251872771,0.449286758024134,0.28168957676030953,1.0860667071821681,0.8728465051700228,1.3513726473817447,0.4590509741106633,0.27747913456313966
25,3618,151,93,58,7,13.285714285714286,1.149113217238813,0.9232071529144983,1.4302978284606382,0.21329856341398495,0.33427219803433467,1.1464766465457508,0.9202668758539198,1.4282907877729976,0.22284207328059719,0.3018359093953904
30,3618,151,90,61,7,12.857142857142858,1.0496698810988723,0.8345416168925901,1.3202539417850614,0.6786755883956539,0.3215915999189428,1.0478972679496703,0.8323638420876074,1.3192412123793427,0.6904645100067217,0.30172758751313833
35,3618,151,88,63,7,12.571428571428571,1.079101606314907,0.8571795201869903,1.3584788825768845,0.5169312228347406,0.3459684787574235,1.0777438504686592,0.8553716264077014,1.357926509792111,0.5254191100585119,0.31349435307424695
40,3618,151,88,63,7,12.571428571428571,1.0532377091000404,0.8360950902181152,1.326774531807036,0.6597014775864534,0.33372743491276347,1.053249936288961,0.8354262280684406,1.3278676093968889,0.6607480874472854,0.40843511242582076
45,3618,151,86,65,7,12.285714285714286,1.0874923170927075,0.862329916900631,1.3714467242262516,0.47856070680897733,0.33686356501292897,1.0882467702475538,0.8622721007738886,1.3734423645289469,0.47637567698008665,0.41093101583723673
50,3618,151,84,67,7,12.0,1.0793360163216452,0.8552726552004906,1.362099242908673,0.520156147757513,0.32345981344412955,1.0795373881659944,0.8548173812967426,1.3633332662005122,0.5204251526954317,0.3656809863224812
55,3618,151,77,74,7,11.0,1.1011903079695486,0.8713514739924445,1.391654378926986,0.4196473622459438,0.34503429996881824,1.1000980542938266,0.8699281740843239,1.3911674148672348,0.4257189353661136,0.33340609821700046
60,3618,151,75,76,7,10.714285714285714,1.1056896088275394,0.8741528093943357,1.3985535457081593,0.40199389741236635,0.3588753714474386,1.1055484382390783,0.8734965435074382,1.3992469213273506,0.40383827920705706,0.33145938989594537
65,3618,151,73,78,7,10.428571428571429,1.116349527510112,0.8818883045964421,1.4131452487538505,0.36016789010387795,0.3672146244877285,1.1166837727343555,0.881609343132538,1.4144390120202783,0.36011608633229697,0.3620497517936249
70,3618,151,71,80,7,10.142857142857142,1.1216172468252454,0.8851287893485813,1.421290622917936,0.342115865287743,0.39381771114666886,1.1223353033012906,0.8851518641498725,1.4230739199156457,0.3406813111440565,0.44275594965091986
75,3618,151,68,83,7,9.714285714285714,1.1282664110362886,0.889435990137663,1.4312273265169764,0.31998880973509747,0.41800046125461254,1.1290425490446327,0.8895084650194603,1.4330803220914978,0.31847089427632447,0.5289844209458134
80,3618,151,66,85,7,9.428571428571429,1.1267535341461057,0.8875077870845784,1.430492830807974,0.32708097944665826,0.44011590050787863,1.1274311263121122,0.8874918704823131,1.4322395357679276,0.32590332542779077,0.6083279072795937
85,3618,151,59,92,7,8.428571428571429,1.1263172069028005,0.8862799834744399,1.431365340772036,0.3306695565274884,0.4930178308941011,1.126698713340909,0.8860281554468987,1.4327422699155303,0.33054979404632484,0.6260145714833515
90,3618,151,53,98,7,7.571428571428571,1.1039318432827607,0.8677928001867333,1.4043277546799637,0.42069146842231164,0.5375708599686407,1.1043350797806335,0.8675716517714065,1.4057120999101465,0.4201739875960814,0.7124793953282677
95,3618,151,33,118,7,4.714285714285714,1.0666622880437726,0.8372528476023913,1.3589305070660076,0.6014458980368493,0.6381241250583295,1.0669095676178226,0.8369333115542776,1.3600797217170235,0.6010620919212899,0.7234825370616318
100,3618,151,33,118,7,4.714285714285714,1.0666622880437726,0.8372528476023913,1.3589305070660076,0.6014458980368493,0.6381241250583295,1.0669095676178226,0.8369333115542776,1.3600797217170235,0.6010620919212899,0.7234825370616318
