Grantee,Disaster Type,Velocity_Trajectory_Cluster,Trajectory_Label
Alabama,2011 Multiple Disasters,0,Moderate
Alabama,2011-2013 Hurricane Sandy and Other Events,0,Moderate
Alabama,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",1,Fast-Consistent
Alaska,2018 Disasters,0,Moderate
American Samoa,2018 Disasters,0,Moderate
Arkansas,2008 Hurricane Ike and Other Events,0,Moderate
California,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",1,Fast-Consistent
California,2018 Disasters,1,Fast-Consistent
California,2015-2018 Mitigation,0,Moderate
California,2013 National Disaster Resilience,0,Moderate
California,"2017 Hurricanes Harvey, Irma and Maria",0,Moderate
"Chicago, IL",2011-2013 Hurricane Sandy and Other Events,0,Moderate
City of Birmingham,2011 Multiple Disasters,0,Moderate
Colorado,2011-2013 Hurricane Sandy and Other Events,0,Moderate
Colorado,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
"Columbia, SC",2015-2018 Mitigation,0,Moderate
Connecticut - DOH,2011-2013 Hurricane Sandy and Other Events,1,Fast-Consistent
Connecticut - DOH,2013 National Disaster Resilience,0,Moderate
"Cook County, IL",2011-2013 Hurricane Sandy and Other Events,0,Moderate
County Of Orange,2011 Multiple Disasters,0,Moderate
"Dallas, TX","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
"Dauphin County, PA",2011 Multiple Disasters,0,Moderate
"Dauphin County, PA",2011-2013 Hurricane Sandy and Other Events,0,Moderate
"Dearborn, MI","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
"Detroit, MI","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
Empire State Development Corporation (NYS),2001 World Trade Center,0,Moderate
Florida,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
Florida,2018 Disasters,1,Fast-Consistent
Florida,2022 Disasters including Hurricanes Fiona and Ian,1,Fast-Consistent
Florida,2015-2018 Mitigation,0,Moderate
Florida,"2017 Hurricanes Harvey, Irma and Maria",0,Moderate
Florida,2016 Louisiana Floods and Other Events,0,Moderate
"Fort Worth, TX","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
Georgia,2018 Disasters,0,Moderate
Georgia,2015-2018 Mitigation,2,Accelerating
Georgia,"2017 Hurricanes Harvey, Irma and Maria",1,Fast-Consistent
"Hawaii County, HI",2018 Disasters,0,Moderate
"Houston, TX",2015-2018 Mitigation,0,Moderate
"Houston, TX",2015 Hurricane Joaquin and Patricia and Other Events,0,Moderate
Illinois,2011-2013 Hurricane Sandy and Other Events,0,Moderate
Illinois,2008 Hurricane Ike and Other Events,0,Moderate
Indiana - OCRA,2008 Hurricane Ike and Other Events,0,Moderate
Iowa,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0,Moderate
Iowa,2019 Disasters,0,Moderate
"Jefferson County, AL",2011 Multiple Disasters,0,Moderate
"Jefferson County, AL",2011-2013 Hurricane Sandy and Other Events,0,Moderate
"Jefferson Parish, LA",2011-2013 Hurricane Sandy and Other Events,0,Moderate
