Grantee,Disaster Type,Expenditure_Velocity,Expenditure_TV_Mean,Expenditure_TV_Std,Expenditure_TV_Count,Expenditure_TV_Min,Expenditure_TV_Max,Expenditure_TV_Lag1_Mean,Expenditure_TV_Lag1_Std,Expenditure_TV_Lag1_Count
Alabama,2011 Multiple Disasters,0.029405739446676547,2.940573944667655,4.1191058250482895,34,-1.6377481666625893,16.138620699081663,3.0296715087413184,4.149567840998894,33
Alabama,2011-2013 Hurricane Sandy and Other Events,0.02833435464467509,2.7063487852665293,5.982035052930926,35,-4.930404424007762,20.6535427462687,2.7822011207321355,6.054886627435122,34
Alabama,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0711508892778372,7.051832503484279,10.79630999114242,10,-1.3175203714032684,30.9435745338412,7.835369448315865,11.145565664599157,9
Alaska,2018 Disasters,0.048122155077847666,4.812215507784766,9.120697100090622,12,-7.747652254675966,26.603929946513283,5.249689644856108,9.432897930050885,11
Alaska,2022 Disasters including Hurricanes Fiona and Ian,0.0008795755072350817,0.08795755072350817,0.12439076114630469,2,0.0,0.17591510144701633,0.17591510144701633,,1
American Samoa,2018 Disasters,0.0021944531322664056,0.21944531322664076,13.263836328568164,7,-25.015763357784625,19.622948912713223,0.21943652068232153,14.529804712404228,6
Arkansas,2008 Hurricane Ike and Other Events,0.01873807841617395,1.8738078416173953,7.83002676101312,48,-0.24726216116677247,52.80611435516457,1.9136760935667014,7.90975200980478,47
"Baton Rouge, LA","2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",0.0,0.0,,1,0.0,0.0,,,0
California,2013 National Disaster Resilience,0.02943793130927854,2.9060013572565535,4.366645469537912,30,-6.1355302727377765,13.936292750515388,3.0062083006102274,4.408693285676258,29
California,2015-2018 Mitigation,0.010560974345093559,1.056097434509356,4.216836038608404,17,-8.095347967920263,7.724250146892656,1.1221035241661907,4.346049916655967,16
California,"2017 Hurricanes Harvey, Irma and Maria",0.03079441117965252,3.079441117965252,18.11452895084045,20,-24.397320518157247,61.92326725,3.2415169662792125,18.596004592497458,19
