Grantee,Disaster Type,Quarter_Index,Disbursement_Velocity_pp_lag1,Measure,Expenditure_Velocity_pp_lag1,Capacity_Velocity_Index_pp_lag1
"Jefferson Parish, LA",2011-2013 Hurricane Sandy and Other Events,17,-67.66084961911413,Disbursement_Velocity_pp_lag1,,
Louisiana,"2005 Hurricanes Katrina, Rita, Wilma",6,88.98052953408207,Disbursement_Velocity_pp_lag1,,
Louisiana,2008 Hurricane Ike and Other Events,2,70.72234445333369,Disbursement_Velocity_pp_lag1,,
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",2,819.3088777626499,Disbursement_Velocity_pp_lag1,,
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",4,96.7685435505901,Disbursement_Velocity_pp_lag1,,
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",5,-785.2827649638319,Disbursement_Velocity_pp_lag1,,
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",9,-160.42084801618924,Disbursement_Velocity_pp_lag1,,
Nebraska,2019 Disasters,9,-114.8647139044184,Disbursement_Velocity_pp_lag1,,
"New York City, NY",2011-2013 Hurricane Sandy and Other Events,2,99.99159732905895,Disbursement_Velocity_pp_lag1,,
Northern Mariana Islands,2018 Disasters,2,-98.75906458242507,Disbursement_Velocity_pp_lag1,,
Puerto Rico,2015-2018 Mitigation,2,-91.6968502859519,Disbursement_Velocity_pp_lag1,,
Puerto Rico,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",3,-96.13903279360898,Disbursement_Velocity_pp_lag1,,
Puerto Rico,Electrical Power Systems in Puerto Rico and the U.S. Virgin Islands,2,-96.76780296763846,Disbursement_Velocity_pp_lag1,,
"Richland County, SC",2015-2018 Mitigation,2,100.0,Disbursement_Velocity_pp_lag1,,
"San Marcos, TX",2015 Hurricane Joaquin and Patricia and Other Events,5,-81.60389467704589,Disbursement_Velocity_pp_lag1,,
South Carolina,2015-2018 Mitigation,2,-98.35258763520794,Disbursement_Velocity_pp_lag1,,
Texas - GLO,2015 Hurricane Joaquin and Patricia and Other Events,2,100.0,Disbursement_Velocity_pp_lag1,,
Texas - GLO,2015 Hurricane Joaquin and Patricia and Other Events,5,-98.09878684957913,Disbursement_Velocity_pp_lag1,,
Virgin Islands,2015-2018 Mitigation,2,74.61255757130671,Disbursement_Velocity_pp_lag1,,
Virgin Islands,"2017 Hurricanes Harvey, Irma and Maria",2,-92.84416672456021,Disbursement_Velocity_pp_lag1,,
"Volusia County, FL",2022 Disasters including Hurricanes Fiona and Ian,2,74.39332055514856,Disbursement_Velocity_pp_lag1,,
"Dauphin County, PA",2011-2013 Hurricane Sandy and Other Events,3,,Expenditure_Velocity_pp_lag1,-480.2471633883892,
"Joplin, MO",2011 Multiple Disasters,5,,Expenditure_Velocity_pp_lag1,1933.4591,
"Joplin, MO",2011 Multiple Disasters,6,,Expenditure_Velocity_pp_lag1,-1019.1955273338427,
"Joplin, MO",2011 Multiple Disasters,7,,Expenditure_Velocity_pp_lag1,-880.4273490573767,
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",2,,Expenditure_Velocity_pp_lag1,858.9304856180363,
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",5,,Expenditure_Velocity_pp_lag1,-813.4239370069565,
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",9,,Expenditure_Velocity_pp_lag1,-161.12693344200147,
"Nashville-Davidson, TN",2010 Severe Storms and Flooding,2,,Expenditure_Velocity_pp_lag1,-245.66345037029117,
"Dauphin County, PA",2011-2013 Hurricane Sandy and Other Events,3,,Capacity_Velocity_Index_pp_lag1,,-265.56857314620095
"Joplin, MO",2011 Multiple Disasters,5,,Capacity_Velocity_Index_pp_lag1,,966.72955
"Joplin, MO",2011 Multiple Disasters,6,,Capacity_Velocity_Index_pp_lag1,,-526.0044485867074
"Joplin, MO",2011 Multiple Disasters,7,,Capacity_Velocity_Index_pp_lag1,,-443.78736151809306
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",2,,Capacity_Velocity_Index_pp_lag1,,839.1196816903431
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",4,,Capacity_Velocity_Index_pp_lag1,,100.47212927745406
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",5,,Capacity_Velocity_Index_pp_lag1,,-799.3533509853942
Mississippi,"2005 Hurricanes Katrina, Rita, Wilma",9,,Capacity_Velocity_Index_pp_lag1,,-160.77389072909534
"Nashville-Davidson, TN",2010 Severe Storms and Flooding,2,,Capacity_Velocity_Index_pp_lag1,,-98.47725847421111
Nebraska,2019 Disasters,9,,Capacity_Velocity_Index_pp_lag1,,-114.8647139044184
"New York City, NY",2011-2013 Hurricane Sandy and Other Events,2,,Capacity_Velocity_Index_pp_lag1,,104.78921404236725
Puerto Rico,2015-2018 Mitigation,2,,Capacity_Velocity_Index_pp_lag1,,-91.6968502859519
Puerto Rico,"2020 Hurricanes Laura, Delta and Zeta (LDZ)/2021 Hurricane Ida and Wildfires (IDF)",3,,Capacity_Velocity_Index_pp_lag1,,-96.13903279360898
Puerto Rico,Electrical Power Systems in Puerto Rico and the U.S. Virgin Islands,2,,Capacity_Velocity_Index_pp_lag1,,-96.76780296763846
South Carolina,2015-2018 Mitigation,2,,Capacity_Velocity_Index_pp_lag1,,-98.35258763520794
