Model,N,CFI,RMSEA,Capacity_Beta,Capacity_SE,Capacity_p,Significant,Subset
milestone_time_to_50,156,0.7582670498166314,0.308040415947669,-0.3651558351395388,0.39427410463929763,0.35436951778415926,False,all
milestone_progress_rate,156,0.8467397001998996,0.09209112482531298,0.09070096388856648,0.22393446535715245,0.6854528747572275,False,all
milestone_velocity,156,0.9950667006582987,0.2085595121824844,0.013678050452104197,0.031971619427131066,0.668783262655051,False,all
exp_time_to_milestone,156,0.7582670498166314,0.308040415947669,-0.3651558351395388,0.39427410463929763,0.35436951778415926,False,all
milestone_time_to_50,94,0.9828661576402183,0.09265195691363026,-0.44228273656771333,0.5304688304518433,0.40441725512730553,False,state
milestone_progress_rate,94,0.644852875002149,0.25267167662265066,0.0395179773124377,0.05911496620039174,0.5038185578303414,False,state
milestone_velocity,94,0.35250278424607684,0.24478915552908578,0.02895109502292876,0.049304881829118866,0.5570793566487178,False,state
exp_time_to_milestone,94,0.9828661576402183,0.09265195691363026,-0.44228273656771333,0.5304688304518433,0.40441725512730553,False,state
milestone_time_to_50,61,0.6913367968703164,0.4339470500402759,-0.26572317507221643,0.5319084189683413,0.6173809497920817,False,local
milestone_progress_rate,61,-6.364164237256977,1.109861483444155,0.03194747805165594,0.1806085071727788,0.8595963627091867,False,local
milestone_velocity,61,0.24717528726261717,0.33290312572768427,0.015606139362267468,0.039342152919009804,0.6916054348563312,False,local
exp_time_to_milestone,61,0.6913367968703164,0.4339470500402759,-0.26572317507221643,0.5319084189683413,0.6173809497920817,False,local
