LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,-1.4630251017849434,1.207110323238172,-1.2120061220742833,0.22551003716157503
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,0.518177724141077,0.42980834450649863,1.2056018240754203,0.22797105554225516
Time_to_50pct,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,0.463447047506225,0.5295553431602253,0.87516263123631,0.3814854227197668
gov_cap,~~,gov_cap,0.026186567723108175,0.022483988295166884,1.1646762744300359,0.24415005619648467
recovery_outcome,~~,recovery_outcome,0.0,0.06423723590652676,0.0,1.0
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.02590597186668812,0.021779845865510628,1.1894469788935447,0.23426382354003494
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.4187511779527984,0.06339073603063651,6.60587341569613,3.95179444723226e-11
Spending_CV,~~,Spending_CV,0.7010258105396917,0.10612423114063585,6.605709205130414,3.956190930409775e-11
Time_to_50pct,~~,Time_to_50pct,1.0011285861564746e-16,0.04497796716275487,2.2258199942909513e-15,0.9999999999999982
