LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,0.1456830645628115,0.22969255872263328,0.6342524345253072,0.5259160929770466
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-0.10060325415677884,0.33744803292827935,-0.2981296209774107,0.7656042346685299
Startup_Lag,~,gov_cap,1.7235171153133244,1.5306714253725642,1.125987646168214,0.26017074844909827
Duration_log,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,-3.5543001464152413,3.9756310703476094,-0.8940216241200613,0.3713103214492177
Time_to_50pct,~,recovery_outcome,-3.432916647497543,4.5726556117596475,-0.750749004291565,0.45280372501935817
gov_cap,~~,gov_cap,0.03165556797350256,0.02588268211188147,1.2230404807138593,0.22131440712061634
recovery_outcome,~~,recovery_outcome,0.002501844982884656,0.005109153564389469,0.4896789557927373,0.6243610955247667
Duration_log,~~,Duration_log,0.1145475656670422,0.025784479468357917,4.4425006059621905,8.89193829367585e-06
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,1.8880200591119071e-19,0.024895973251079326,7.58363627722093e-18,1.0
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.13625957357404098,0.03046960878770822,4.471983034601272,7.749757699349047e-06
Spending_CV,~~,Spending_CV,0.5594024650615192,0.13056849717343305,4.284360141743726,1.8326584774186472e-05
Startup_Lag,~~,Startup_Lag,0.640222993897316,0.16113172864857622,3.9732894276188833,7.08868267986773e-05
Time_to_50pct,~~,Time_to_50pct,3.037330008013021e-19,0.034924221271877776,8.696915485333436e-18,1.0
