lval,op,rval,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,113.65239145027482,17.534883756302044,6.481502417113067,9.081380092368363e-11
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,1.2536973290902347,1.304557197642822,0.961013692120632,0.33654528340823897
Timeliness_censored,~,gov_cap,-0.272771726452014,0.07463526827990938,-3.6547296303051544,0.00025745314519154405
Duration_censored,~,recovery_outcome,1.0,-,-,-
Ratio_obligated_funds_fully_expended,~,recovery_outcome,0.010564945937718869,0.0010998846610703983,9.605503469638036,0.0
Quarter_by_quarter_variance_expended,~,recovery_outcome,-0.0001214956799229249,0.0005690155947626669,-0.21351906841864496,0.8309221175826265
gov_cap,~~,gov_cap,0.06137300316805397,0.018274133686200376,3.358463072372128,0.000783771925593868
recovery_outcome,~~,recovery_outcome,3.186628712728833e-17,100.43463268453064,3.172838519495695e-19,1.0
Duration_censored,~~,Duration_censored,119.57525215908355,46.663943443735015,2.562476364717411,0.01039286611850554
Quarter_by_quarter_variance_expended,~~,Quarter_by_quarter_variance_expended,0.008767173475487139,0.002066590795684983,4.242336455553057,2.2120473041509214e-05
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.009862878177432421,0.00792672433563879,1.2442564871146544,0.21340518006473652
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,3.5462877119953196,0.837099779596682,4.236397856537125,2.2713417334063735e-05
Ratio_obligated_funds_fully_expended,~~,Ratio_obligated_funds_fully_expended,0.01668286230952931,0.0057179844238942875,2.9176124084734174,0.0035272248812185936
Timeliness_censored,~~,Timeliness_censored,0.010639259252144848,0.0025736475209198733,4.133922443353176,3.566238632113361e-05
