source,model,capacity_set,variable,p_value,effect_ratio,effect_lower,effect_upper,n,events,interpretation,bonferroni,rank,bh_raw,bh_fdr,sig_bonferroni,sig_bh_fdr
capacity_sets,Cox_PH,velocity_index_winsor,Capacity_Velocity_Index_winsor,0.0005407517111734,8.761628135860796e+17,59968117.65943459,1.2801156779185675e+28,151,40,Hazard Ratio (>1 = faster completion),0.2579385662297118,28,0.009212091651061136,0.009212091651061136,False,True
capacity_sets,Cox_PH,velocity_index_scaled,Capacity_Velocity_Index_scaled,0.0005666878004822,2.6161893510277636,1.514215849566057,4.520126190986937,151,40,Hazard Ratio (>1 = faster completion),0.2703100808300094,29,0.009321037270000325,0.009321037270000325,False,True
capacity_sets,Cox_PH,velocity,Expenditure_Velocity,0.000930414154662,1.0210677768260388e+18,22271097.49856609,4.6813113046610825e+28,151,40,Hazard Ratio (>1 = faster completion),0.44380755177377396,31,0.014316372637863676,0.013448713690114363,False,True
capacity_sets,Cox_PH,velocity_scaled,Expenditure_Velocity_scaled,0.000930414154662,2.046600915866931,1.3393754947894685,3.1272599245857844,151,40,Hazard Ratio (>1 = faster completion),0.44380755177377396,32,0.013868985992930436,0.013448713690114363,False,True
capacity_sets,Cox_PH,velocity_pp,Expenditure_Velocity_pp,0.000930414154662,1.5138768425043498,1.1843427782211395,1.935101168694772,151,40,Hazard Ratio (>1 = faster completion),0.44380755177377396,33,0.013448713690114363,0.013448713690114363,False,True
capacity_sets,Cox_PH,velocity_winsor,Expenditure_Velocity_winsor,0.0011612321951407,4.733083587685447e+18,25508437.386908665,8.782223665144728e+29,151,40,Hazard Ratio (>1 = faster completion),0.5539077570821138,35,0.015825935916631822,0.015825935916631822,False,True
capacity_sets,Cox_PH,ratio_velocity_index_pp_threshold_interaction,Ratio_disbursed_to_obligated_high_x_Capacity_Velocity_Index_pp,0.0027101231175875,1.4854699154855362,1.1469328387297832,1.9239320693410584,151,40,Hazard Ratio (>1 = faster completion),1.0,40,0.03231821817723094,0.031208205383897056,False,True
capacity_sets,Cox_PH,velocity_index,Capacity_Velocity_Index,0.0027478922979532,39951638674816.81,50048.36596736848,3.1891819082441223e+22,151,40,Hazard Ratio (>1 = faster completion),1.0,41,0.031969381124967715,0.031208205383897056,False,True
capacity_sets,Cox_PH,velocity_index_pp,Capacity_Velocity_Index_pp,0.0027478922979532,1.3677771557047682,1.1142788800824204,1.6789462504480444,151,40,Hazard Ratio (>1 = faster completion),1.0,42,0.031208205383897056,0.031208205383897056,False,True
capacity_sets,Cox_PH,quartiles_velocity_winsor,Capacity_Velocity_Index_winsor_Q4,0.0044933018643154,3.132313278572349,1.4249796853648975,6.885281647091155,156,41,Hazard Ratio (>1 = faster completion),1.0,45,0.04762899976174324,0.04659358672344448,False,True
