LHS,Operator,RHS,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,0.31973832450495665,6.136749712616919,0.052102226663657956,0.9584472387569147
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-0.10171809970183603,1.9773439589711137,-0.051441783428874115,0.9589734904679952
Duration_log,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,-0.36692556641601526,2.1737255423779636,-0.16880031966429646,0.8659537068778067
gov_cap,~~,gov_cap,0.031488219058136896,0.6036698111590597,0.052161328057181856,0.9584001467025656
recovery_outcome,~~,recovery_outcome,0.03478942882949707,0.24309723890753224,0.1431091072267873,0.8862040124523445
Duration_log,~~,Duration_log,0.07971263650636541,0.23568380943916736,0.3382185509293625,0.7351984971417054
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.0001649830673453468,0.6036283188904547,0.0002733189649689287,0.9997819230203919
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,0.13630000790769786,0.03111094140104342,4.381095581336071,1.1808405333324501e-05
Spending_CV,~~,Spending_CV,0.5945215259085316,0.13665247426748212,4.35060930357156,1.3575976006485746e-05
