lval,op,rval,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,-1.8467964481056989,1.4845210214032112,-1.2440352285202472,0.21348659765274958
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,3.9032656032201087,2.070763571031698,1.8849402499743295,0.059437905142665226
Time_to_50pct,~,recovery_outcome,1.0,-,-,-
Spending_CV,~,recovery_outcome,1.2508654589773427,0.9027861315235304,1.3855612257412644,0.16588092492713935
gov_cap,~~,gov_cap,0.014060498177674467,0.012773403933097262,1.100763606178729,0.2709995550803219
recovery_outcome,~~,recovery_outcome,3.456364896055205e-16,0.04681798064249567,7.382558684823137e-15,0.999999999999994
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.03596675040671017,0.012895311473183235,2.7891339017841164,0.005284920951722727
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,2.7078125800587936,0.5468478720801564,4.951674347298061,7.357765796633942e-07
Spending_CV,~~,Spending_CV,0.6748527681173325,0.13734125580578246,4.913693006176849,8.937666191588534e-07
Time_to_50pct,~~,Time_to_50pct,0.0,0.028546194350219243,0.0,1.0
