lval,op,rval,Estimate,Std. Err,z-value,p-value
recovery_outcome,~,gov_cap,-125.1270295279824,258.8793645884714,-0.4833410717261709,0.628853582059367
Ratio_disbursed_to_obligated,~,gov_cap,1.0,-,-,-
Ratio_expended_to_disbursed,~,gov_cap,-51.02676687036493,50.804759667283456,-1.0043698111069588,0.31520039562035906
Timeliness,~,gov_cap,0.005466353716174266,0.05204608727461434,0.10502910021317721,0.9163527177855211
Duration_of_completion,~,recovery_outcome,1.0,-,-,-
Ratio_obligated_funds_fully_expended,~,recovery_outcome,-0.029646989204937725,0.03616112864882358,-0.8198579610728596,0.4122970844041607
Quarter_by_quarter_variance_expended,~,recovery_outcome,-0.0035614511386078875,0.0041404698750109065,-0.8601562733839114,0.3897029047000462
gov_cap,~~,gov_cap,0.0024416457081303244,0.005667008331358219,0.4308526765681107,0.6665754948325506
recovery_outcome,~~,recovery_outcome,0.44076915144729367,59.99454570417274,0.007346820386317718,0.9941381381758969
Duration_of_completion,~~,Duration_of_completion,578.87816186069,213.101546297928,2.7164428035232695,0.006598759592569614
Quarter_by_quarter_variance_expended,~~,Quarter_by_quarter_variance_expended,0.002601387799037444,0.0010100031638105582,2.5756234135418525,0.010005955812301126
Ratio_disbursed_to_obligated,~~,Ratio_disbursed_to_obligated,0.029934925879535248,0.01145902591999241,2.612344721613365,0.008992353133313147
Ratio_expended_to_disbursed,~~,Ratio_expended_to_disbursed,15.51284895240039,10.595705456749581,1.4640694775558403,0.14317496592181467
Ratio_obligated_funds_fully_expended,~~,Ratio_obligated_funds_fully_expended,1.9190926651939635e-09,0.02378479283457501,8.068570024808327e-08,0.9999999356221254
Timeliness,~~,Timeliness,9.718971846673914e-05,3.548911833093645e-05,2.7385779162464945,0.006170553692038672
