Analysis,Context,Phase,Week,HR,p,N,Events,CI_lower,CI_upper
Phase-Specific,Overall_Velocity (Overall),2,5,4.437804758432355,0.0123911362401983,143,106,1.3802306458657863,14.268710184746837
Phase-Specific,Early_Velocity_Only (Early),2,5,2.509435161209572,0.0081675442721697,138,106,1.2690801333140591,4.96207029249628
Phase-Specific,Three_Phase (Early),2,5,2.0372066398697166,0.1571982971821331,138,106,0.7600434603425356,5.460491550915849
Phase-Specific,Three_Phase (Mid),2,5,0.3690839970607531,0.1839444253216412,138,106,0.08483675258521428,1.6057073465832252
Phase-Specific,Three_Phase (Late),2,5,5.001476282669603,0.0396985478424722,138,106,1.0787609870206762,23.188422001793338
Phase-Specific,Acceleration (Acceleration),2,5,0.5947056434040274,0.2621357611602977,138,106,0.23977769245545505,1.4750112851398909
Experience,Novice,2,6,4.6080258828973815,0.0431735317924511,74,55,1.0480105792179952,20.26115285333904
Experience,Experienced,2,6,3.1503425084212098,0.2366341248389361,69,51,0.4709769130017114,21.072493462815615
Experience,Interaction,2,6,4.7020172822446575,0.0320096797363399,143,106,1.1422970974380446,19.354830343273782
Program Type,Housing,3,8,0.821561397542501,0.8907854884978682,50,39,0.0496837322929304,13.585193760252752
Program Type,Infrastructure,3,8,5.689423718905339,0.3735486791681216,56,48,0.1235844215726841,261.92251289702443
Program Type,Administration,3,8,30.73772584426275,0.0036547874328247,34,16,3.051288099419022,309.64227542360015
Disaster Context,Hurricane,3,9,4.581872249483177,0.0281314302025697,77,54,1.177344948734632,17.83126800106217
Disaster Context,Fire,3,9,51.09270067866701,0.002447763515254,27,11,4.010531325495187,650.9022996641331
Disaster Context,Other,3,9,5.315861166682385,0.2060259281799339,65,52,0.3990267843271294,70.81825344404716
Disaster Context,2010-2020,3,9,5.362459924158034,0.0101791756385066,126,97,1.4895635510435954,19.30496783306386
